FID,GEOID10,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,GEOG_UNIT,Cases,cases_nume,zcta,pop_total,White,Hispanic_o,Black_or_A,Asian,American_I,Two_or_mor,pct_nonwhi,pct_black,pct_latinx,pct_asian,pct_native,largest_mi,cases_per_,index_righ,year,geoid,name,variable,estimate,moe
12,55031,55031,B5,G6350,S,102575976.000000000000000,57672.000000000000000,+44.6125169,-092.9621635,65455.644572999997763,102551623.692000001668930,55031,<=5,1.000000000000000,55031,2099.000000000000000,2009.000000000000000,27.000000000000000,18.000000000000000,6.000000000000000,0.000000000000000,39.000000000000000,0.042877560743211,0.008575512148642,0.012863268222963,0.002858504049547,0.000000000000000,latinx,0.476417341591234,18.000000000000000,2018,55031,ZCTA5 55031,median_hh_income,103000,10187
13,55033,55033,B5,G6350,S,365313064.000000000000000,19595848.000000000000000,+44.7139182,-092.8644685,146096.766820999997435,384602424.185000002384186,55033,71,71.000000000000000,55033,30054.000000000000000,27745.000000000000000,984.000000000000000,360.000000000000000,197.000000000000000,176.000000000000000,562.000000000000000,0.076828375590604,0.011978438810142,0.032741066081054,0.006554867904439,0.005856125640514,latinx,2.362414320889067,81.000000000000000,2018,55033,ZCTA5 55033,median_hh_income,75870,2813
14,55038,55038,B5,G6350,S,128385968.000000000000000,11303088.000000000000000,+45.1741628,-092.9808229,85400.167048999996041,139577422.877000004053116,55038,86,86.000000000000000,55038,22082.000000000000000,20697.000000000000000,442.000000000000000,107.000000000000000,414.000000000000000,13.000000000000000,392.000000000000000,0.062720768046373,0.004845575581922,0.020016302871117,0.018748301784259,0.000588714790327,latinx,3.894574766778371,1.000000000000000,2018,55038,ZCTA5 55038,median_hh_income,98888,6715
15,55040,55040,B5,G6350,S,256905142.000000000000000,7781972.000000000000000,+45.4661348,-093.2801875,86413.014911799997208,264478806.125999987125397,55040,39,39.000000000000000,55040,12893.000000000000000,12295.000000000000000,294.000000000000000,51.000000000000000,54.000000000000000,14.000000000000000,179.000000000000000,0.046381757542853,0.003955634840611,0.022803071434112,0.004188319243000,0.001085860544482,latinx,3.024897231055611,1.000000000000000,2018,55040,ZCTA5 55040,median_hh_income,76875,3894
16,55042,55042,B5,G6350,S,63394699.000000000000000,5587605.000000000000000,+44.9878193,-092.9095002,39024.930479100003140,68927233.462400004267693,55042,48,48.000000000000000,55042,9618.000000000000000,8331.000000000000000,610.000000000000000,237.000000000000000,217.000000000000000,0.000000000000000,223.000000000000000,0.133811603243918,0.024641297567062,0.063422749012269,0.022561863173217,0.000000000000000,latinx,4.990642545227698,81.000000000000000,2018,55042,ZCTA5 55042,median_hh_income,115000,15634
17,55043,55043,B5,G6350,S,10053436.000000000000000,5444753.000000000000000,+44.9405781,-092.7688352,22502.567588699999760,15485919.011199999600649,55043,7,7.000000000000000,55043,3682.000000000000000,3590.000000000000000,17.000000000000000,6.000000000000000,44.000000000000000,0.000000000000000,25.000000000000000,0.024986420423683,0.001629549158066,0.004617055947854,0.011950027159153,0.000000000000000,asian,1.901140684410646,81.000000000000000,2018,55043,ZCTA5 55043,median_hh_income,83656,3691
18,55044,55044,B5,G6350,S,166055136.000000000000000,5005738.000000000000000,+44.6421404,-093.2764276,92534.515395299997181,170926170.583999991416931,55044,233,233.000000000000000,55044,53547.000000000000000,45689.000000000000000,1480.000000000000000,1531.000000000000000,3058.000000000000000,45.000000000000000,1577.000000000000000,0.146749584477188,0.028591704483911,0.027639270173866,0.057108708237623,0.000840383214746,asian,4.351317534128897,68.000000000000000,2018,55044,ZCTA5 55044,median_hh_income,111551,4566
19,55045,55045,B5,G6350,S,91586860.000000000000000,17163993.000000000000000,+45.3953229,-092.8350088,104318.116437000004225,108664355.186000004410744,55045,11,11.000000000000000,55045,7598.000000000000000,7188.000000000000000,50.000000000000000,0.000000000000000,221.000000000000000,3.000000000000000,136.000000000000000,0.053961568833904,0.000000000000000,0.006580679126086,0.029086601737299,0.000394840747565,asian,1.447749407738879,81.000000000000000,2018,55045,ZCTA5 55045,median_hh_income,86310,8489
20,55047,55047,B5,G6350,S,77711659.000000000000000,13567666.000000000000000,+45.2004287,-092.8207289,58392.869102899996506,91206762.346900001168251,55047,7,7.000000000000000,55047,2372.000000000000000,2285.000000000000000,10.000000000000000,2.000000000000000,9.000000000000000,33.000000000000000,33.000000000000000,0.036677908937605,0.000843170320405,0.004215851602024,0.003794266441821,0.013912310286678,nativeamer,2.951096121416526,81.000000000000000,2018,55047,ZCTA5 55047,median_hh_income,103977,24073
21,55054,55054,B5,G6350,S,3091142.000000000000000,0.000000000000000,+44.5701664,-093.3504537,9778.081040380000559,3088726.934030000120401,55054,10,10.000000000000000,55054,2620.000000000000000,2426.000000000000000,0.000000000000000,144.000000000000000,37.000000000000000,0.000000000000000,13.000000000000000,0.074045801526718,0.054961832061069,0.000000000000000,0.014122137404580,0.000000000000000,black,3.816793893129771,68.000000000000000,2018,55054,ZCTA5 55054,median_hh_income,130714,20633
