FID,GEOID10,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,GEOG_UNIT,Cases,cases_nume,zcta,pop_total,White,Hispanic_o,Black_or_A,Asian,American_I,Two_or_mor,pct_nonwhi,pct_black,pct_latinx,pct_asian,pct_native,largest_mi,cases_per_,index_righ,year,geoid,name,variable,estimate,moe
49,55110,55110,B5,G6350,S,62537534.000000000000000,16021060.000000000000000,+45.0899121,-093.0059877,61613.187922199998866,78495764.658399999141693,55110,181,181.000000000000000,55110,40336.000000000000000,36167.000000000000000,1141.000000000000000,670.000000000000000,1454.000000000000000,152.000000000000000,752.000000000000000,0.103356802856010,0.016610472034907,0.028287385957953,0.036047203490678,0.003768345894486,asian,4.487306624355415,1.000000000000000,2018,55110,ZCTA5 55110,median_hh_income,81345,3398
50,55111,55111,B5,G6350,S,5816365.000000000000000,655666.000000000000000,+44.8783853,-093.1963585,16855.228571899999224,6466891.077399999834597,55111,0,0.000000000000000,55111,20.000000000000000,5.000000000000000,0.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.750000000000000,0.750000000000000,0.000000000000000,0.000000000000000,0.000000000000000,black,0.000000000000000,18.000000000000000,2018,55111,ZCTA5 55111,median_hh_income,15000,5716
51,55112,55112,B5,G6350,S,49446417.000000000000000,4809676.000000000000000,+45.0818660,-093.1904930,37344.232610099999874,54212993.474600002169609,55112,473,473.000000000000000,55112,45895.000000000000000,35286.000000000000000,2551.000000000000000,3239.000000000000000,2979.000000000000000,116.000000000000000,1597.000000000000000,0.231158078222029,0.070574136616189,0.055583396884192,0.064909031484911,0.002527508443186,black,10.306133565747903,1.000000000000000,2018,55112,ZCTA5 55112,median_hh_income,70842,2751
52,55113,55113,B5,G6350,S,38650151.000000000000000,2197318.000000000000000,+45.0121956,-093.1511859,36013.844974400002684,40814964.173199996352196,55113,360,360.000000000000000,55113,41608.000000000000000,31294.000000000000000,1321.000000000000000,3297.000000000000000,3615.000000000000000,191.000000000000000,1809.000000000000000,0.247885022111132,0.079239569313594,0.031748702172659,0.086882330321092,0.004590463372428,asian,8.652182272639877,61.000000000000000,2018,55113,ZCTA5 55113,median_hh_income,66413,2890
53,55114,55114,B5,G6350,S,3370310.000000000000000,77979.000000000000000,+44.9666903,-093.1950724,11150.097154700000829,3445555.864180000033230,55114,40,40.000000000000000,55114,2931.000000000000000,1955.000000000000000,103.000000000000000,343.000000000000000,437.000000000000000,0.000000000000000,61.000000000000000,0.332992152848857,0.117024906175367,0.035141589901058,0.149095871716138,0.000000000000000,asian,13.647219379051519,61.000000000000000,2018,55114,ZCTA5 55114,median_hh_income,57625,8478
54,55115,55115,B5,G6350,S,17367373.000000000000000,4836231.000000000000000,+45.0679033,-092.9534409,36883.374451299998327,22185855.182100001722574,55115,40,40.000000000000000,55115,9113.000000000000000,8222.000000000000000,173.000000000000000,386.000000000000000,156.000000000000000,53.000000000000000,123.000000000000000,0.097772413036322,0.042357072314276,0.018983869197849,0.017118402282454,0.005815867442116,black,4.389333918577856,81.000000000000000,2018,55115,ZCTA5 55115,median_hh_income,101217,10891
55,55116,55116,B5,G6350,S,14125323.000000000000000,1366261.000000000000000,+44.9107187,-093.1695814,18444.068257399998402,15479260.744999999180436,55116,170,170.000000000000000,55116,24196.000000000000000,18464.000000000000000,802.000000000000000,2877.000000000000000,971.000000000000000,15.000000000000000,1037.000000000000000,0.236898660935692,0.118903951066292,0.033145974541246,0.040130600099190,0.000619937179699,black,7.025954703256736,18.000000000000000,2018,55116,ZCTA5 55116,median_hh_income,69047,4802
56,55117,55117,B5,G6350,S,23921413.000000000000000,1614406.000000000000000,+45.0035616,-093.0912803,37920.757102399998985,25515434.818799998611212,55117,629,629.000000000000000,55117,45486.000000000000000,20287.000000000000000,4132.000000000000000,7287.000000000000000,11703.000000000000000,203.000000000000000,1739.000000000000000,0.553994635712087,0.160203139427516,0.090841137932551,0.257287956733940,0.004462911665128,asian,13.828430725937652,61.000000000000000,2018,55117,ZCTA5 55117,median_hh_income,50222,3559
57,55118,55118,B5,G6350,S,27310418.000000000000000,1643708.000000000000000,+44.8943150,-093.1009469,28844.029882399998314,28931021.757199998944998,55118,358,358.000000000000000,55118,28402.000000000000000,20627.000000000000000,4494.000000000000000,1028.000000000000000,963.000000000000000,78.000000000000000,1178.000000000000000,0.273748327582565,0.036194634180691,0.158228293782128,0.033906062953313,0.002746285472854,latinx,12.604746144637701,18.000000000000000,2018,55118,ZCTA5 55118,median_hh_income,67866,6727
58,55119,55119,B5,G6350,S,36525232.000000000000000,5642357.000000000000000,+44.9374206,-093.0074025,44912.474496399998316,42133865.542099997401237,55119,460,460.000000000000000,55119,42792.000000000000000,21180.000000000000000,3685.000000000000000,7368.000000000000000,8011.000000000000000,68.000000000000000,2394.000000000000000,0.505047672462142,0.172181716208637,0.086114226958310,0.187207889325107,0.001589082071415,asian,10.749672836044120,81.000000000000000,2018,55119,ZCTA5 55119,median_hh_income,56567,2229
59,55120,55120,B5,G6350,S,13834723.000000000000000,2252143.000000000000000,+44.8749844,-093.1520927,19909.871988599999895,16074048.265599999576807,55120,30,30.000000000000000,55120,4355.000000000000000,3909.000000000000000,62.000000000000000,99.000000000000000,158.000000000000000,5.000000000000000,122.000000000000000,0.102411021814007,0.022732491389208,0.014236509758898,0.036280137772675,0.001148105625718,asian,6.888633754305395,18.000000000000000,2018,55120,ZCTA5 55120,median_hh_income,99688,10987
60,55121,55121,B5,G6350,S,23389925.000000000000000,1946860.000000000000000,+44.8465414,-093.1549346,23637.208311800000956,25316621.016699999570847,55121,75,75.000000000000000,55121,8571.000000000000000,5986.000000000000000,362.000000000000000,981.000000000000000,881.000000000000000,34.000000000000000,316.000000000000000,0.301598413253996,0.114455722786139,0.042235445105589,0.102788472756971,0.003966865009917,black,8.750437521876094,18.000000000000000,2018,55121,ZCTA5 55121,median_hh_income,71503,5009
61,55122,55122,B5,G6350,S,29178517.000000000000000,1524439.000000000000000,+44.8068104,-093.2014974,27739.239318200001435,30678585.905000001192093,55122,197,197.000000000000000,55122,32253.000000000000000,22843.000000000000000,1746.000000000000000,3494.000000000000000,2581.000000000000000,83.000000000000000,1381.000000000000000,0.291755805661489,0.108331007968251,0.054134499116361,0.080023563699501,0.002573404024432,black,6.107958949555080,18.000000000000000,2018,55122,ZCTA5 55122,median_hh_income,78995,3458
62,55123,55123,B5,G6350,S,28463533.000000000000000,2506831.000000000000000,+44.8089327,-093.1384494,26270.828419400000712,30945676.283199999481440,55123,121,121.000000000000000,55123,25612.000000000000000,21306.000000000000000,972.000000000000000,970.000000000000000,1866.000000000000000,33.000000000000000,422.000000000000000,0.168124316726534,0.037872872091207,0.037950960487272,0.072856473528034,0.001288458535062,asian,4.724347961892863,18.000000000000000,2018,55123,ZCTA5 55123,median_hh_income,117650,5920
63,55124,55124,B5,G6350,S,43572536.000000000000000,1759018.000000000000000,+44.7394617,-093.1938424,27059.591185599998425,45295591.308700002729893,55124,339,339.000000000000000,55124,51931.000000000000000,39868.000000000000000,3186.000000000000000,3986.000000000000000,2978.000000000000000,93.000000000000000,1769.000000000000000,0.232288998863877,0.076755695056902,0.061350638347037,0.057345323602473,0.001790837842522,black,6.527892780805300,18.000000000000000,2018,55124,ZCTA5 55124,median_hh_income,87164,3040
64,55125,55125,B5,G6350,S,39561667.000000000000000,1233058.000000000000000,+44.9180314,-092.9382772,25948.062001900001633,40762120.186099998652935,55125,250,250.000000000000000,55125,43438.000000000000000,34247.000000000000000,1655.000000000000000,2215.000000000000000,3794.000000000000000,53.000000000000000,1382.000000000000000,0.211588931350430,0.050992218794604,0.038100280860076,0.087342879506423,0.001220129840232,asian,5.755329435056862,81.000000000000000,2018,55125,ZCTA5 55125,median_hh_income,99507,5047
65,55126,55126,B5,G6350,S,31029347.000000000000000,6006320.000000000000000,+45.0844497,-093.1328166,47412.932676399999764,37006140.640000000596046,55126,95,95.000000000000000,55126,26736.000000000000000,22021.000000000000000,823.000000000000000,487.000000000000000,2632.000000000000000,34.000000000000000,674.000000000000000,0.176353979652902,0.018215140634351,0.030782465589467,0.098444045481747,0.001271693596649,asian,3.553261520047875,1.000000000000000,2018,55126,ZCTA5 55126,median_hh_income,87647,5442
66,55127,55127,B5,G6350,S,34976343.000000000000000,6890145.000000000000000,+45.0839069,-093.0802328,33723.870217800002138,41833044.134900003671646,55127,83,83.000000000000000,55127,18487.000000000000000,16082.000000000000000,430.000000000000000,448.000000000000000,1062.000000000000000,30.000000000000000,417.000000000000000,0.130091415589333,0.024233244982961,0.023259587818467,0.057445772705144,0.001622761940823,asian,4.489641369611078,1.000000000000000,2018,55127,ZCTA5 55127,median_hh_income,104079,5042
67,55128,55128,B5,G6350,S,29106043.000000000000000,1020010.000000000000000,+44.9875455,-092.9635530,28513.188209200001438,30101964.207699999213219,55128,181,181.000000000000000,55128,28849.000000000000000,21120.000000000000000,1396.000000000000000,2417.000000000000000,2670.000000000000000,148.000000000000000,1089.000000000000000,0.267912232659711,0.083781066934729,0.048389892197303,0.092550868314326,0.005130160490832,asian,6.274047627300773,81.000000000000000,2018,55128,ZCTA5 55128,median_hh_income,68381,4345
68,55129,55129,B5,G6350,S,50662186.000000000000000,899454.000000000000000,+44.8834738,-092.8927678,43829.363754099998914,51520470.781300000846386,55129,146,146.000000000000000,55129,25248.000000000000000,18152.000000000000000,1303.000000000000000,1710.000000000000000,2823.000000000000000,14.000000000000000,1246.000000000000000,0.281051964512041,0.067728136882129,0.051608048162231,0.111810836501901,0.000554499366286,asian,5.782636248415716,81.000000000000000,2018,55129,ZCTA5 55129,median_hh_income,129815,7664
69,55130,55130,B5,G6350,S,5194142.000000000000000,2841.000000000000000,+44.9733023,-093.0824096,13894.334159300000465,5192825.062429999932647,55130,364,364.000000000000000,55130,18259.000000000000000,3538.000000000000000,2218.000000000000000,3963.000000000000000,6900.000000000000000,352.000000000000000,1277.000000000000000,0.806232542855578,0.217043649706994,0.121474341420669,0.377895832192344,0.019278164193001,asian,19.935374335943919,61.000000000000000,2018,55130,ZCTA5 55130,median_hh_income,34520,2766
70,55150,55150,B5,G6350,S,881270.000000000000000,121231.000000000000000,+44.8866401,-093.1654224,5109.840433499999563,1001703.041929999948479,55150,0,0.000000000000000,55150,225.000000000000000,144.000000000000000,45.000000000000000,0.000000000000000,8.000000000000000,5.000000000000000,23.000000000000000,0.360000000000000,0.000000000000000,0.200000000000000,0.035555555555556,0.022222222222222,latinx,0.000000000000000,18.000000000000000,2018,55150,ZCTA5 55150,median_hh_income,67500,18400
71,55155,55155,B5,G6350,S,136110.000000000000000,0.000000000000000,+44.9560262,-093.0826804,1519.963536299999987,136002.239441000012448,55155,<=5,1.000000000000000,55155,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,61.000000000000000,2018,55155,ZCTA5 55155,median_hh_income,0,0
72,55303,55303,B5,G6350,S,163428543.000000000000000,6335447.000000000000000,+45.2882979,-093.4311025,85463.294101899999077,169632836.988000005483627,55303,299,299.000000000000000,55303,49377.000000000000000,43411.000000000000000,1212.000000000000000,1684.000000000000000,1263.000000000000000,398.000000000000000,1403.000000000000000,0.120825485549952,0.034104947647690,0.024545841181117,0.025578710735768,0.008060432995119,black,6.055450918443809,1.000000000000000,2018,55303,ZCTA5 55303,median_hh_income,81116,3281
73,55304,55304,B5,G6350,S,178927398.000000000000000,6034282.000000000000000,+45.2476048,-093.2750365,68160.006241900002351,184815877.300999999046326,55304,184,184.000000000000000,55304,48981.000000000000000,43886.000000000000000,1030.000000000000000,1219.000000000000000,1374.000000000000000,80.000000000000000,1323.000000000000000,0.104019926093791,0.024887201159633,0.021028562095506,0.028051693513811,0.001633286376350,asian,3.756558665605030,1.000000000000000,2018,55304,ZCTA5 55304,median_hh_income,103709,4102
74,55305,55305,B5,G6350,S,24138122.000000000000000,381260.000000000000000,+44.9563739,-093.4279968,22654.448014300000068,24500459.101900000125170,55305,157,157.000000000000000,55305,20818.000000000000000,16798.000000000000000,450.000000000000000,1598.000000000000000,1428.000000000000000,81.000000000000000,409.000000000000000,0.193102123162648,0.076760495724853,0.021615909309252,0.068594485541358,0.003890863675665,black,7.541550581227783,26.000000000000000,2018,55305,ZCTA5 55305,median_hh_income,75219,5097
75,55306,55306,B5,G6350,S,16125953.000000000000000,1919721.000000000000000,+44.7309442,-093.2913805,18045.108574699999735,18031494.304900001734495,55306,196,196.000000000000000,55306,16125.000000000000000,10602.000000000000000,2130.000000000000000,1889.000000000000000,873.000000000000000,12.000000000000000,608.000000000000000,0.342511627906977,0.117147286821705,0.132093023255814,0.054139534883721,0.000744186046512,latinx,12.155038759689923,68.000000000000000,2018,55306,ZCTA5 55306,median_hh_income,71853,3799
76,55311,55311,B5,G6350,S,42454977.000000000000000,2202498.000000000000000,+45.1064033,-093.4970293,45028.491814200002409,44623422.615500003099442,55311,167,167.000000000000000,55311,37703.000000000000000,31088.000000000000000,384.000000000000000,1800.000000000000000,3197.000000000000000,46.000000000000000,1011.000000000000000,0.175450229424714,0.047741559027133,0.010184865925788,0.084794313449858,0.001220062064027,asian,4.429355754184017,26.000000000000000,2018,55311,ZCTA5 55311,median_hh_income,125213,6043
77,55313,55313,B5,G6350,S,281574312.000000000000000,28076626.000000000000000,+45.1746639,-093.8514553,131112.341402999998536,309437558.138000011444092,55313,121,121.000000000000000,55313,24379.000000000000000,23369.000000000000000,482.000000000000000,128.000000000000000,154.000000000000000,91.000000000000000,150.000000000000000,0.041429098814554,0.005250420443825,0.019771114483777,0.006316912096476,0.003732720784282,latinx,4.963288075802945,26.000000000000000,2018,55313,ZCTA5 55313,median_hh_income,78464,3293
78,55315,55315,B5,G6350,S,68682874.000000000000000,1942506.000000000000000,+44.7210963,-093.6889727,80739.557360999999219,70574058.293500006198883,55315,42,42.000000000000000,55315,5651.000000000000000,5095.000000000000000,75.000000000000000,211.000000000000000,38.000000000000000,0.000000000000000,232.000000000000000,0.098389665545921,0.037338524155017,0.013271987258892,0.006724473544505,0.000000000000000,black,7.432312864979650,68.000000000000000,2018,55315,ZCTA5 55315,median_hh_income,111838,8742
79,55316,55316,B5,G6350,S,21154298.000000000000000,1457645.000000000000000,+45.1729324,-093.3868294,24590.836959699998260,22594382.794799998402596,55316,174,174.000000000000000,55316,24478.000000000000000,20490.000000000000000,530.000000000000000,2085.000000000000000,651.000000000000000,12.000000000000000,641.000000000000000,0.162921807337201,0.085178527657488,0.021652095759457,0.026595310074352,0.000490236130403,black,7.108423890840754,1.000000000000000,2018,55316,ZCTA5 55316,median_hh_income,87692,4032
80,55317,55317,B5,G6350,S,32442135.000000000000000,3171164.000000000000000,+44.8587036,-093.5502092,30256.116311800000403,35586485.622299998998642,55317,88,88.000000000000000,55317,21739.000000000000000,18833.000000000000000,833.000000000000000,359.000000000000000,1290.000000000000000,8.000000000000000,404.000000000000000,0.133676802060812,0.016514099084595,0.038318229909379,0.059340356042136,0.000368002208013,asian,4.048024288145728,9.000000000000000,2018,55317,ZCTA5 55317,median_hh_income,117031,7272
81,55318,55318,B5,G6350,S,107194863.000000000000000,5144518.000000000000000,+44.8107848,-093.6362479,78996.154924200003734,112256566.658999994397163,55318,201,201.000000000000000,55318,27657.000000000000000,23114.000000000000000,2061.000000000000000,577.000000000000000,924.000000000000000,113.000000000000000,854.000000000000000,0.164262212098203,0.020862711067722,0.074520013016596,0.033409263477601,0.004085764905810,latinx,7.267599522724807,68.000000000000000,2018,55318,ZCTA5 55318,median_hh_income,89467,5426
82,55322,55322,B5,G6350,S,141397244.000000000000000,5614975.000000000000000,+44.7718787,-093.7871315,108982.143956999992952,146908657.342000007629395,55322,9,9.000000000000000,55322,3505.000000000000000,3192.000000000000000,73.000000000000000,175.000000000000000,10.000000000000000,4.000000000000000,51.000000000000000,0.089300998573466,0.049928673323823,0.020827389443652,0.002853067047076,0.001141226818830,black,2.567760342368046,9.000000000000000,2018,55322,ZCTA5 55322,median_hh_income,90375,4262
83,55327,55327,B5,G6350,S,46341574.000000000000000,4532457.000000000000000,+45.1957351,-093.4758017,35685.442378100000496,50835099.662699997425079,55327,26,26.000000000000000,55327,3402.000000000000000,3302.000000000000000,15.000000000000000,0.000000000000000,65.000000000000000,0.000000000000000,20.000000000000000,0.029394473838918,0.000000000000000,0.004409171075838,0.019106407995297,0.000000000000000,asian,7.642563198118753,1.000000000000000,2018,55327,ZCTA5 55327,median_hh_income,98831,10464
84,55328,55328,B5,G6350,S,115359547.000000000000000,3613852.000000000000000,+45.0318746,-093.8119512,71515.022110799996881,118890258.746999993920326,55328,25,25.000000000000000,55328,9400.000000000000000,8770.000000000000000,281.000000000000000,0.000000000000000,27.000000000000000,9.000000000000000,313.000000000000000,0.067021276595745,0.000000000000000,0.029893617021277,0.002872340425532,0.000957446808511,latinx,2.659574468085106,9.000000000000000,2018,55328,ZCTA5 55328,median_hh_income,87781,9279
85,55330,55330,B5,G6350,S,270649825.000000000000000,10489535.000000000000000,+45.3341682,-093.5682165,126880.811637000006158,280928366.843999981880188,55330,130,130.000000000000000,55330,38283.000000000000000,35560.000000000000000,699.000000000000000,729.000000000000000,533.000000000000000,150.000000000000000,510.000000000000000,0.071128176997623,0.019042394796646,0.018258757150694,0.013922628843090,0.003918188229763,black,3.395763132460883,1.000000000000000,2018,55330,ZCTA5 55330,median_hh_income,91811,3725
86,55331,55331,B5,G6350,S,38757527.000000000000000,18368629.000000000000000,+44.8956642,-093.6076488,64841.720252300001448,57083690.814999997615814,55331,111,111.000000000000000,55331,18475.000000000000000,17034.000000000000000,767.000000000000000,86.000000000000000,280.000000000000000,31.000000000000000,230.000000000000000,0.077997293640054,0.004654939106901,0.041515561569689,0.015155615696888,0.001677943166441,latinx,6.008119079837618,9.000000000000000,2018,55331,ZCTA5 55331,median_hh_income,120984,5722
87,55337,55337,B5,G6350,S,48372248.000000000000000,3304827.000000000000000,+44.7784720,-093.2722690,33836.447742700001982,51636345.931199997663498,55337,449,449.000000000000000,55337,45158.000000000000000,31966.000000000000000,2387.000000000000000,6296.000000000000000,2101.000000000000000,85.000000000000000,2124.000000000000000,0.292129855175163,0.139421586429868,0.052858851144869,0.046525532574516,0.001882279994685,black,9.942867266043669,68.000000000000000,2018,55337,ZCTA5 55337,median_hh_income,69993,3134
88,55338,55338,B5,G6350,S,102558238.000000000000000,3690019.000000000000000,+44.6695190,-093.9957708,59814.438980600003561,106179667.914000004529953,55338,8,8.000000000000000,55338,1155.000000000000000,1051.000000000000000,69.000000000000000,19.000000000000000,0.000000000000000,0.000000000000000,16.000000000000000,0.090043290043290,0.016450216450216,0.059740259740260,0.000000000000000,0.000000000000000,latinx,6.926406926406926,9.000000000000000,2018,55338,ZCTA5 55338,median_hh_income,64519,7375
89,55339,55339,B5,G6350,S,58014411.000000000000000,687312.000000000000000,+44.7234273,-093.9569591,40857.850874900002964,58663056.003399997949600,55339,<=5,1.000000000000000,55339,1085.000000000000000,1029.000000000000000,8.000000000000000,0.000000000000000,24.000000000000000,2.000000000000000,22.000000000000000,0.051612903225806,0.000000000000000,0.007373271889401,0.022119815668203,0.001843317972350,asian,0.921658986175115,9.000000000000000,2018,55339,ZCTA5 55339,median_hh_income,88333,17153
90,55340,55340,B5,G6350,S,93540820.000000000000000,1697391.000000000000000,+45.0782631,-093.5721177,58695.583563899999717,95166857.118000000715256,55340,23,23.000000000000000,55340,8023.000000000000000,6737.000000000000000,318.000000000000000,17.000000000000000,743.000000000000000,0.000000000000000,208.000000000000000,0.160289168640160,0.002118908139100,0.039636046366696,0.092608749844198,0.000000000000000,asian,2.866758070547177,26.000000000000000,2018,55340,ZCTA5 55340,median_hh_income,125583,14476
91,55341,55341,B5,G6350,S,12320319.000000000000000,361218.000000000000000,+45.1577552,-093.6627501,17538.291342500000610,12672232.863500000908971,55341,<=5,1.000000000000000,55341,3226.000000000000000,3106.000000000000000,43.000000000000000,1.000000000000000,55.000000000000000,1.000000000000000,20.000000000000000,0.037197768133912,0.000309981401116,0.013329200247985,0.017048977061376,0.000309981401116,asian,0.309981401115933,26.000000000000000,2018,55341,ZCTA5 55341,median_hh_income,97168,11890
92,55343,55343,B5,G6350,S,19575869.000000000000000,674621.000000000000000,+44.9143724,-093.4162539,21922.693703199998708,20234826.476799998432398,55343,330,330.000000000000000,55343,25185.000000000000000,16025.000000000000000,1785.000000000000000,4526.000000000000000,1987.000000000000000,92.000000000000000,677.000000000000000,0.363708556680564,0.179710144927536,0.070875521143538,0.078896168354179,0.003652968036530,black,13.103037522334724,26.000000000000000,2018,55343,ZCTA5 55343,median_hh_income,62127,4314
93,55344,55344,B5,G6350,S,22847658.000000000000000,1805478.000000000000000,+44.8638384,-093.4300085,29690.351883999999700,24634128.956000000238419,55344,148,148.000000000000000,55344,17097.000000000000000,8839.000000000000000,1878.000000000000000,3457.000000000000000,2409.000000000000000,1.000000000000000,404.000000000000000,0.483008714979236,0.202199216236767,0.109843832251272,0.140901912616248,0.000058489793531,black,8.656489442592267,26.000000000000000,2018,55344,ZCTA5 55344,median_hh_income,69264,4827
94,55345,55345,B5,G6350,S,29375580.000000000000000,727815.000000000000000,+44.9154425,-093.4844300,23644.894901399999071,30080394.897599998861551,55345,90,90.000000000000000,55345,21905.000000000000000,19979.000000000000000,447.000000000000000,382.000000000000000,424.000000000000000,30.000000000000000,619.000000000000000,0.087925131248573,0.017438940881077,0.020406299931522,0.019356311344442,0.001369550330975,latinx,4.108650992923990,26.000000000000000,2018,55345,ZCTA5 55345,median_hh_income,103182,5024
95,55346,55346,B5,G6350,S,17848137.000000000000000,625397.000000000000000,+44.8808048,-093.4820085,22626.475288800000271,18459422.842199999839067,55346,86,86.000000000000000,55346,16413.000000000000000,14002.000000000000000,296.000000000000000,606.000000000000000,880.000000000000000,23.000000000000000,403.000000000000000,0.146895753366234,0.036921952111131,0.018034484859563,0.053616036068970,0.001401328215439,asian,5.239748979467495,9.000000000000000,2018,55346,ZCTA5 55346,median_hh_income,114260,7483
96,55347,55347,B5,G6350,S,43704386.000000000000000,4615715.000000000000000,+44.8279856,-093.4623820,35928.794460400000389,48283068.483000002801418,55347,118,118.000000000000000,55347,30390.000000000000000,24331.000000000000000,801.000000000000000,389.000000000000000,3950.000000000000000,66.000000000000000,853.000000000000000,0.199374794340243,0.012800263244488,0.026357354392892,0.129976966107272,0.002171767028628,asian,3.882856202698256,68.000000000000000,2018,55347,ZCTA5 55347,median_hh_income,137804,7639
97,55349,55349,B5,G6350,S,169833979.000000000000000,10389806.000000000000000,+45.0586473,-094.0745392,75294.917248900004779,180111353.375000000000000,55349,12,12.000000000000000,55349,3880.000000000000000,3614.000000000000000,151.000000000000000,54.000000000000000,25.000000000000000,11.000000000000000,25.000000000000000,0.068556701030928,0.013917525773196,0.038917525773196,0.006443298969072,0.002835051546392,latinx,3.092783505154639,9.000000000000000,2018,55349,ZCTA5 55349,median_hh_income,63266,4917
98,55352,55352,B5,G6350,S,172877609.000000000000000,4238391.000000000000000,+44.6514753,-093.5926085,99653.639883199997712,176983910.937000006437302,55352,58,58.000000000000000,55352,9391.000000000000000,7978.000000000000000,1029.000000000000000,162.000000000000000,112.000000000000000,11.000000000000000,96.000000000000000,0.150463209455862,0.017250559045895,0.109572995421148,0.011926312426792,0.001171334256203,latinx,6.176126078159941,68.000000000000000,2018,55352,ZCTA5 55352,median_hh_income,71603,6133
99,55356,55356,B5,G6350,S,32331162.000000000000000,4154398.000000000000000,+44.9942451,-093.5896205,42372.899513900003512,36458301.474699996411800,55356,20,20.000000000000000,55356,5429.000000000000000,5101.000000000000000,59.000000000000000,62.000000000000000,107.000000000000000,0.000000000000000,100.000000000000000,0.060416282925032,0.011420151040707,0.010867563087125,0.019708970344446,0.000000000000000,asian,3.683919690550746,26.000000000000000,2018,55356,ZCTA5 55356,median_hh_income,132227,22286
100,55357,55357,B5,G6350,S,49188883.000000000000000,1559682.000000000000000,+45.1037223,-093.6742182,46964.860275400002138,50711338.163999997079372,55357,10,10.000000000000000,55357,3229.000000000000000,3160.000000000000000,22.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,19.000000000000000,0.021368844843605,0.001858160421183,0.006813254877671,0.006813254877671,0.000000000000000,latinx,3.096934035305048,26.000000000000000,2018,55357,ZCTA5 55357,median_hh_income,104821,16348
101,55359,55359,B5,G6350,S,108465138.000000000000000,9375202.000000000000000,+45.0073468,-093.6926125,72228.793727099997341,117754975.810000002384186,55359,17,17.000000000000000,55359,6349.000000000000000,5776.000000000000000,211.000000000000000,242.000000000000000,36.000000000000000,0.000000000000000,84.000000000000000,0.090250433139077,0.038116238777760,0.033233580091353,0.005670184280989,0.000000000000000,black,2.677587021578201,9.000000000000000,2018,55359,ZCTA5 55359,median_hh_income,97180,6661
102,55360,55360,B5,G6350,S,82972704.000000000000000,993386.000000000000000,+44.9159598,-093.9196449,80732.918124899995746,83909827.730499997735023,55360,20,20.000000000000000,55360,2774.000000000000000,2611.000000000000000,18.000000000000000,17.000000000000000,71.000000000000000,2.000000000000000,55.000000000000000,0.058759913482336,0.006128334534968,0.006488824801730,0.025594808940159,0.000720980533526,asian,7.209805335255948,9.000000000000000,2018,55360,ZCTA5 55360,median_hh_income,92500,11471
103,55363,55363,B5,G6350,S,70189227.000000000000000,557176.000000000000000,+45.0371917,-093.9183204,61602.249489599998924,70698832.217800006270409,55363,29,29.000000000000000,55363,4808.000000000000000,4371.000000000000000,221.000000000000000,47.000000000000000,23.000000000000000,6.000000000000000,140.000000000000000,0.090890183028286,0.009775374376040,0.045965058236273,0.004783693843594,0.001247920133111,latinx,6.031613976705491,9.000000000000000,2018,55363,ZCTA5 55363,median_hh_income,74476,4758
104,55364,55364,B5,G6350,S,40582323.000000000000000,17873235.000000000000000,+44.9369916,-093.6777947,56687.146777200003271,58412866.869199998676777,55364,64,64.000000000000000,55364,15269.000000000000000,14427.000000000000000,114.000000000000000,41.000000000000000,262.000000000000000,28.000000000000000,397.000000000000000,0.055144410242976,0.002685179121095,0.007466107800118,0.017158949505534,0.001833780863187,asian,4.191499115855655,9.000000000000000,2018,55364,ZCTA5 55364,median_hh_income,109236,8728
105,55367,55367,B5,G6350,S,53274908.000000000000000,539128.000000000000000,+44.8951421,-093.9757520,51008.547680999996373,53778876.656999997794628,55367,<=5,1.000000000000000,55367,1004.000000000000000,961.000000000000000,28.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,13.000000000000000,0.042828685258964,0.000000000000000,0.027888446215139,0.001992031872510,0.000000000000000,latinx,0.996015936254980,9.000000000000000,2018,55367,ZCTA5 55367,median_hh_income,72031,5953
106,55368,55368,B5,G6350,S,94871429.000000000000000,2201580.000000000000000,+44.7400632,-093.8997466,72660.280230400006985,97007358.777500003576279,55368,12,12.000000000000000,55368,2190.000000000000000,2075.000000000000000,66.000000000000000,5.000000000000000,6.000000000000000,0.000000000000000,38.000000000000000,0.052511415525114,0.002283105022831,0.030136986301370,0.002739726027397,0.000000000000000,latinx,5.479452054794520,9.000000000000000,2018,55368,ZCTA5 55368,median_hh_income,65938,11951
107,55369,55369,B5,G6350,S,62112947.000000000000000,4336833.000000000000000,+45.1274496,-093.4453952,52233.557272099998954,66398665.426299996674061,55369,281,281.000000000000000,55369,36800.000000000000000,30580.000000000000000,1508.000000000000000,1899.000000000000000,1812.000000000000000,134.000000000000000,808.000000000000000,0.169021739130435,0.051603260869565,0.040978260869565,0.049239130434783,0.003641304347826,black,7.635869565217392,26.000000000000000,2018,55369,ZCTA5 55369,median_hh_income,83952,3695
